ball_x,ball_y,ball_direction_x,ball_direction_y,paddle_y
243,318,1,-1,215
246,316,1,-1,215
249,314,1,-1,215
252,312,1,-1,215
255,310,1,-1,215
258,308,1,-1,215
261,306,1,-1,215
264,304,1,-1,215
267,302,1,-1,215
270,300,1,-1,215
273,298,1,-1,215
276,296,1,-1,215
279,294,1,-1,215
282,292,1,-1,215
285,290,1,-1,215
288,288,1,-1,215
291,286,1,-1,215
294,284,1,-1,215
297,282,1,-1,215
300,280,1,-1,215
303,278,1,-1,213
306,276,1,-1,211
309,274,1,-1,209
312,272,1,-1,207
315,270,1,-1,205
318,268,1,-1,203
321,266,1,-1,201
324,264,1,-1,199
327,262,1,-1,197
330,260,1,-1,195
333,258,1,-1,193
336,256,1,-1,191
339,254,1,-1,191
342,252,1,-1,191
345,250,1,-1,191
348,248,1,-1,191
351,246,1,-1,191
354,244,1,-1,191
357,242,1,-1,191
360,240,1,-1,191
363,238,1,-1,191
366,236,1,-1,191
369,234,1,-1,189
372,232,1,-1,187
375,230,1,-1,185
378,228,1,-1,183
381,226,1,-1,181
384,224,1,-1,179
387,222,1,-1,177
390,220,1,-1,175
393,218,1,-1,173
396,216,1,-1,171
399,214,1,-1,169
402,212,1,-1,167
405,210,1,-1,165
408,208,1,-1,163
411,206,1,-1,161
414,204,1,-1,159
417,202,1,-1,157
420,200,1,-1,155
423,198,1,-1,153
426,196,1,-1,151
429,194,1,-1,149
432,192,1,-1,147
435,190,1,-1,145
438,188,1,-1,143
441,186,1,-1,141
444,184,1,-1,139
447,182,1,-1,137
450,180,1,-1,135
453,178,1,-1,133
456,176,1,-1,131
459,174,1,-1,129
462,172,1,-1,127
465,170,1,-1,125
468,168,1,-1,123
471,166,1,-1,121
474,164,1,-1,119
477,162,1,-1,117
480,160,1,-1,115
483,158,1,-1,113
486,156,1,-1,111
489,154,1,-1,109
492,152,1,-1,107
495,150,1,-1,107
498,148,1,-1,107
501,146,1,-1,107
504,144,1,-1,107
507,142,1,-1,107
510,140,1,-1,107
513,138,1,-1,107
516,136,1,-1,107
519,134,1,-1,105
522,132,1,-1,103
525,130,1,-1,101
528,128,1,-1,99
531,126,1,-1,97
534,124,1,-1,95
537,122,1,-1,93
540,120,1,-1,91
543,118,1,-1,89
546,116,1,-1,87
549,114,1,-1,85
552,112,1,-1,83
555,110,1,-1,81
558,108,1,-1,79
561,106,1,-1,77
564,104,1,-1,75
567,102,1,-1,73
570,100,1,-1,71
573,98,1,-1,69
576,96,1,-1,67
579,94,1,-1,65
582,92,1,-1,65
585,90,1,-1,65
588,88,1,-1,65
591,86,1,-1,65
594,84,1,-1,65
597,82,1,-1,65
600,80,1,-1,65
603,78,1,-1,63
606,76,1,-1,61
609,74,1,-1,59
612,72,1,-1,57
615,70,1,-1,55
618,68,1,-1,53
621,66,1,-1,51
624,64,1,-1,49
627,62,1,-1,47
630,60,1,-1,45
627,58,-1,-1,45
624,56,-1,-1,45
621,54,-1,-1,45
618,52,-1,-1,45
615,50,-1,-1,45
612,48,-1,-1,45
609,46,-1,-1,45
606,44,-1,-1,45
603,42,-1,-1,45
600,40,-1,-1,45
597,38,-1,-1,45
594,36,-1,-1,45
591,34,-1,-1,45
588,32,-1,-1,45
585,30,-1,-1,45
582,28,-1,-1,45
579,26,-1,-1,45
576,24,-1,-1,45
573,22,-1,-1,45
570,20,-1,-1,45
567,18,-1,-1,45
564,16,-1,-1,45
561,14,-1,-1,45
558,16,-1,1,45
555,18,-1,1,45
552,20,-1,1,45
549,22,-1,1,45
546,24,-1,1,45
543,26,-1,1,45
540,28,-1,1,45
537,30,-1,1,45
534,32,-1,1,45
531,34,-1,1,45
528,36,-1,1,45
525,38,-1,1,45
522,40,-1,1,45
519,42,-1,1,45
516,44,-1,1,45
513,46,-1,1,45
510,48,-1,1,45
507,50,-1,1,45
504,52,-1,1,45
501,54,-1,1,45
498,56,-1,1,47
495,58,-1,1,49
492,60,-1,1,51
489,62,-1,1,53
486,64,-1,1,55
483,66,-1,1,57
480,68,-1,1,59
477,70,-1,1,61
474,72,-1,1,63
471,74,-1,1,65
468,76,-1,1,67
465,78,-1,1,69
462,80,-1,1,71
459,82,-1,1,73
456,84,-1,1,75
453,86,-1,1,77
450,88,-1,1,79
447,90,-1,1,81
444,92,-1,1,83
441,94,-1,1,85
438,96,-1,1,87
435,98,-1,1,89
432,100,-1,1,91
429,102,-1,1,93
426,104,-1,1,95
423,106,-1,1,97
420,108,-1,1,99
417,110,-1,1,101
414,112,-1,1,103
411,114,-1,1,105
408,116,-1,1,107
405,118,-1,1,109
402,120,-1,1,111
399,122,-1,1,113
396,124,-1,1,115
393,126,-1,1,117
390,128,-1,1,119
387,130,-1,1,121
384,132,-1,1,123
381,134,-1,1,125
378,136,-1,1,127
375,138,-1,1,129
372,140,-1,1,131
369,142,-1,1,133
366,144,-1,1,135
363,146,-1,1,137
360,148,-1,1,139
357,150,-1,1,141
354,152,-1,1,143
351,154,-1,1,145
348,156,-1,1,147
345,158,-1,1,149
342,160,-1,1,149
339,162,-1,1,149
336,164,-1,1,149
333,166,-1,1,149
330,168,-1,1,149
327,170,-1,1,149
324,172,-1,1,149
321,174,-1,1,149
318,176,-1,1,149
315,178,-1,1,149
312,180,-1,1,149
309,182,-1,1,149
306,184,-1,1,149
303,186,-1,1,149
300,188,-1,1,149
297,190,-1,1,149
294,192,-1,1,149
291,194,-1,1,149
288,196,-1,1,149
285,198,-1,1,149
282,200,-1,1,149
279,202,-1,1,149
276,204,-1,1,149
273,206,-1,1,149
270,208,-1,1,149
267,210,-1,1,149
264,212,-1,1,149
261,214,-1,1,149
258,216,-1,1,149
255,218,-1,1,149
252,220,-1,1,149
249,222,-1,1,149
246,224,-1,1,149
243,226,-1,1,149
240,228,-1,1,149
237,230,-1,1,149
234,232,-1,1,149
231,234,-1,1,149
228,236,-1,1,149
225,238,-1,1,149
222,240,-1,1,149
219,242,-1,1,149
216,244,-1,1,149
213,246,-1,1,149
210,248,-1,1,149
207,250,-1,1,149
204,252,-1,1,149
201,254,-1,1,149
198,256,-1,1,149
195,258,-1,1,149
192,260,-1,1,149
189,262,-1,1,149
186,264,-1,1,149
183,266,-1,1,149
180,268,-1,1,149
177,270,-1,1,149
174,272,-1,1,149
171,274,-1,1,149
168,276,-1,1,149
165,278,-1,1,149
162,280,-1,1,149
159,282,-1,1,149
156,284,-1,1,149
153,286,-1,1,149
150,288,-1,1,149
147,290,-1,1,149
144,292,-1,1,149
141,294,-1,1,149
138,296,-1,1,149
135,298,-1,1,149
132,300,-1,1,149
129,302,-1,1,149
126,304,-1,1,149
123,306,-1,1,149
120,308,-1,1,149
117,310,-1,1,149
114,312,-1,1,149
111,314,-1,1,149
108,316,-1,1,149
105,318,-1,1,149
102,320,-1,1,149
99,322,-1,1,149
96,324,-1,1,149
93,326,-1,1,149
90,328,-1,1,149
87,330,-1,1,149
84,332,-1,1,149
81,334,-1,1,149
78,336,-1,1,149
75,338,-1,1,149
72,340,-1,1,149
69,342,-1,1,149
66,344,-1,1,149
63,346,-1,1,149
60,348,-1,1,149
57,350,-1,1,149
54,352,-1,1,149
51,354,-1,1,149
48,356,-1,1,149
45,358,-1,1,149
42,360,-1,1,149
39,362,-1,1,149
36,364,-1,1,149
33,366,-1,1,149
30,368,-1,1,149
27,370,-1,1,149
24,372,-1,1,149
21,374,-1,1,149
18,376,-1,1,149
15,378,-1,1,149
18,380,1,1,149
21,382,1,1,149
24,384,1,1,149
27,386,1,1,149
30,388,1,1,149
33,390,1,1,149
36,392,1,1,149
39,394,1,1,149
42,396,1,1,149
45,398,1,1,149
48,400,1,1,149
51,402,1,1,149
54,404,1,1,149
57,406,1,1,149
60,408,1,1,151
63,410,1,1,153
66,412,1,1,155
69,414,1,1,157
72,416,1,1,159
75,418,1,1,161
78,420,1,1,163
81,422,1,1,165
84,424,1,1,167
87,426,1,1,169
90,428,1,1,171
93,430,1,1,173
96,432,1,1,175
99,434,1,1,177
102,436,1,1,179
105,438,1,1,181
108,440,1,1,183
111,442,1,1,185
114,444,1,1,187
117,446,1,1,189
120,448,1,1,191
123,450,1,1,193
126,452,1,1,195
129,454,1,1,197
132,456,1,1,199
135,458,1,1,201
138,460,1,1,203
141,462,1,1,205
144,464,1,1,207
147,466,1,1,209
150,464,1,-1,211
153,462,1,-1,213
156,460,1,-1,213
159,458,1,-1,213
162,456,1,-1,213
165,454,1,-1,213
168,452,1,-1,213
171,450,1,-1,213
174,448,1,-1,213
177,446,1,-1,213
180,444,1,-1,213
183,442,1,-1,213
186,440,1,-1,213
189,438,1,-1,213
192,436,1,-1,213
195,434,1,-1,213
198,432,1,-1,213
201,430,1,-1,213
204,428,1,-1,213
207,426,1,-1,213
210,424,1,-1,213
213,422,1,-1,213
216,420,1,-1,213
219,418,1,-1,213
222,416,1,-1,213
225,414,1,-1,213
228,412,1,-1,213
231,410,1,-1,213
234,408,1,-1,213
237,406,1,-1,213
240,404,1,-1,213
243,402,1,-1,213
246,400,1,-1,213
249,398,1,-1,213
252,396,1,-1,213
255,394,1,-1,213
258,392,1,-1,213
261,390,1,-1,213
264,388,1,-1,213
267,386,1,-1,213
270,384,1,-1,213
273,382,1,-1,213
276,380,1,-1,213
279,378,1,-1,213
282,376,1,-1,213
285,374,1,-1,213
288,372,1,-1,213
291,370,1,-1,213
294,368,1,-1,213
297,366,1,-1,213
300,364,1,-1,213
303,362,1,-1,213
306,360,1,-1,213
309,358,1,-1,213
312,356,1,-1,213
315,354,1,-1,213
318,352,1,-1,213
321,350,1,-1,213
324,348,1,-1,213
327,346,1,-1,213
330,344,1,-1,213
333,342,1,-1,213
336,340,1,-1,213
339,338,1,-1,213
342,336,1,-1,213
345,334,1,-1,213
348,332,1,-1,213
351,330,1,-1,213
354,328,1,-1,213
357,326,1,-1,213
360,324,1,-1,213
363,322,1,-1,213
366,320,1,-1,213
369,318,1,-1,213
372,316,1,-1,213
375,314,1,-1,213
378,312,1,-1,213
381,310,1,-1,213
384,308,1,-1,213
387,306,1,-1,213
390,304,1,-1,213
393,302,1,-1,213
396,300,1,-1,213
399,298,1,-1,213
